layer,channel,neuron_id,downstream_correct_count,downstream_total_activations,downstream_full_activation_count
conv5,342,conv5_342,822265,352635059,0
conv3,83,conv3_83,825169,190001432,23
conv7,196,conv7_196,372659,139432245,0
conv8,457,conv8_457,668999,39107145,0
conv3,194,conv3_194,825226,205854129,662
conv4,191,conv4_191,824307,371219995,0
conv5,286,conv5_286,811687,356844204,1
conv5,503,conv5_503,824592,374915231,1
conv5,434,conv5_434,797649,347151048,0
conv7,241,conv7_241,606916,218094670,0
conv5,358,conv5_358,820994,370671931,0
conv8,71,conv8_71,675581,41951007,0
conv5,340,conv5_340,824721,369859098,0
conv3,135,conv3_135,825230,202964048,0
conv8,54,conv8_54,767405,55139622,0
conv6,132,conv6_132,781914,249520081,0
conv2,102,conv2_102,825123,177530310,1
conv4,128,conv4_128,825032,377290173,3
conv4,6,conv4_6,825203,387328606,1
conv8,432,conv8_432,625844,26504373,0
conv7,249,conv7_249,661294,240685462,0
conv8,389,conv8_389,708658,32808357,0
conv7,305,conv7_305,504067,184499308,0
conv7,40,conv7_40,594928,222378874,0
conv6,67,conv6_67,206900,64708231,0
conv5,390,conv5_390,825091,377942374,0
conv6,281,conv6_281,778045,243615547,0
conv5,451,conv5_451,800959,359360470,2
conv7,182,conv7_182,576212,217149395,0
conv8,88,conv8_88,716380,43668238,0
conv8,387,conv8_387,678307,37740557,0
conv5,33,conv5_33,804061,325062534,0
conv7,271,conv7_271,636648,246595573,0
conv7,490,conv7_490,591654,218926356,0
conv1,53,conv1_53,825230,93565344,81
conv6,345,conv6_345,737174,225144376,0
conv6,290,conv6_290,104987,37991809,0
conv8,238,conv8_238,666318,43139573,0
conv2,99,conv2_99,825229,172418247,0
conv4,183,conv4_183,824735,389136505,1
conv6,237,conv6_237,774133,233199820,0
conv6,26,conv6_26,749725,230439335,0
conv5,74,conv5_74,822636,370225134,0
conv6,331,conv6_331,732769,220881714,0
conv5,320,conv5_320,821696,355880739,0
conv6,286,conv6_286,781977,246140549,0
conv6,392,conv6_392,672300,191529049,0
conv8,324,conv8_324,624145,38490057,0
conv6,217,conv6_217,819763,239564201,0
conv8,246,conv8_246,674800,39516052,0
conv8,492,conv8_492,671930,38956448,0
conv3,95,conv3_95,825112,195314207,1
conv6,45,conv6_45,750964,225085199,0
conv5,482,conv5_482,825003,362173501,1
conv7,447,conv7_447,526391,193915522,0
conv2,123,conv2_123,825230,198446889,0
conv8,76,conv8_76,732510,50144219,0
conv4,217,conv4_217,825191,377994738,13
conv4,7,conv4_7,823963,381978990,0
conv8,5,conv8_5,699669,41002245,0
conv5,322,conv5_322,824879,373443136,1
conv7,193,conv7_193,472710,174123920,0
conv8,336,conv8_336,687770,39144027,0
conv5,303,conv5_303,777357,328253605,4
conv6,230,conv6_230,797012,244451485,0
conv5,162,conv5_162,810447,348727572,0
conv7,47,conv7_47,707855,267117553,0
conv7,311,conv7_311,769555,285787824,0
conv7,50,conv7_50,510870,182816804,0
conv8,371,conv8_371,655995,30869200,0
conv5,298,conv5_298,816178,354620305,0
conv3,92,conv3_92,824749,187750071,0
conv7,469,conv7_469,594485,227904054,0
conv8,208,conv8_208,714181,43656498,0
conv8,205,conv8_205,724741,48025651,0
conv7,502,conv7_502,569225,206812015,0
conv6,344,conv6_344,752509,230453536,0
conv5,200,conv5_200,800383,338905487,1
conv4,20,conv4_20,825193,396362243,0
conv5,44,conv5_44,824976,370306028,5
conv6,13,conv6_13,778858,248704777,0
conv5,12,conv5_12,825159,377085540,0
conv2,39,conv2_39,825230,195056280,13
conv7,125,conv7_125,553981,201068402,0
conv6,483,conv6_483,804368,240256843,0
conv5,262,conv5_262,824117,360216418,0
conv8,35,conv8_35,694454,39615365,0
conv6,68,conv6_68,786758,252034374,0
conv4,152,conv4_152,825051,388696222,1
conv6,75,conv6_75,771863,238576568,0
conv3,24,conv3_24,825229,201532387,40
conv5,67,conv5_67,821364,365981882,0
conv7,173,conv7_173,604799,220780436,0
conv3,118,conv3_118,825006,185512510,1
conv6,149,conv6_149,789260,250266312,0
conv3,122,conv3_122,825229,202479955,2
conv7,245,conv7_245,551776,210956214,0
conv4,2,conv4_2,825177,388076951,0
conv7,122,conv7_122,568113,202376015,0
conv4,192,conv4_192,825216,390987666,0
conv4,176,conv4_176,824852,390194610,0
conv5,480,conv5_480,823769,375815648,14
conv4,22,conv4_22,825218,382772436,0
conv3,150,conv3_150,824329,194222253,0
conv8,139,conv8_139,598743,31019632,0
conv6,31,conv6_31,770445,240876008,0
conv6,252,conv6_252,764317,220414643,0
conv7,455,conv7_455,549939,203121573,0
conv5,141,conv5_141,810763,358185023,0
conv4,162,conv4_162,825122,380437868,0
conv4,150,conv4_150,825055,371212481,0
conv4,168,conv4_168,823085,354597781,0
conv8,122,conv8_122,785735,58771659,0
conv3,29,conv3_29,825221,206276204,377
conv6,240,conv6_240,798031,235700480,0
conv7,220,conv7_220,482744,179600824,0
conv5,295,conv5_295,812167,361489586,0
conv6,163,conv6_163,774513,248638056,0
conv5,293,conv5_293,824015,337490473,0
conv6,204,conv6_204,769419,239636162,0
conv3,202,conv3_202,825015,194611777,0
conv7,483,conv7_483,482103,178844727,0
conv3,255,conv3_255,824631,188985093,2
conv4,151,conv4_151,821939,375431057,1
conv5,332,conv5_332,824990,371427214,8
conv8,50,conv8_50,653743,32936094,0
conv8,510,conv8_510,663503,31928778,0
conv2,84,conv2_84,825230,195605893,0
conv5,56,conv5_56,825210,381534371,0
conv6,156,conv6_156,762962,233590322,0
conv3,216,conv3_216,825226,195064642,26
conv3,123,conv3_123,813400,180609980,21
conv6,365,conv6_365,755752,226488201,0
conv8,291,conv8_291,647561,41774882,0
conv5,216,conv5_216,822727,371423924,0
conv5,393,conv5_393,811931,357990891,1
conv6,210,conv6_210,790611,239808972,0
conv5,138,conv5_138,789326,343583468,0
conv4,75,conv4_75,825184,389487699,0
conv6,484,conv6_484,774506,240486817,0
conv7,415,conv7_415,804151,302029087,0
conv8,370,conv8_370,744431,47771318,0
conv5,330,conv5_330,820649,366763862,0
conv6,502,conv6_502,806150,260776279,0
conv8,231,conv8_231,669525,37337602,0
conv2,77,conv2_77,825229,203639756,27
conv8,41,conv8_41,626680,31592647,0
conv3,74,conv3_74,822950,184553263,1
conv7,153,conv7_153,546040,196322475,0
conv8,359,conv8_359,627169,35060034,0
conv8,446,conv8_446,691716,39799340,0
conv8,196,conv8_196,619950,29719732,0
conv5,206,conv5_206,811447,334933960,0
conv5,308,conv5_308,823066,342949568,0
conv7,100,conv7_100,700470,269746003,0
conv5,504,conv5_504,825122,361299948,0
conv7,497,conv7_497,595289,217261747,0
conv6,248,conv6_248,812647,265955323,0
conv5,386,conv5_386,825219,375406115,1
conv4,123,conv4_123,824732,377495896,0
conv7,202,conv7_202,526575,198517330,0
conv7,391,conv7_391,663932,249371132,0
conv6,138,conv6_138,774372,242252377,0
conv7,79,conv7_79,572585,200710146,0
conv3,180,conv3_180,825210,204720649,76
conv8,14,conv8_14,639640,34255564,0
conv3,111,conv3_111,825223,204378549,104
conv8,379,conv8_379,723209,44016773,0
conv1,16,conv1_16,170976,18340330,70
conv8,108,conv8_108,612484,31916234,0
conv6,477,conv6_477,743746,227687078,0
conv6,139,conv6_139,751472,232019173,0
conv3,248,conv3_248,825229,205846137,12
conv5,125,conv5_125,823986,368332131,5
conv5,161,conv5_161,811903,333801904,6
conv1,26,conv1_26,821907,72996197,5
conv6,363,conv6_363,793198,256145833,0
conv2,36,conv2_36,825230,192619165,78
conv7,239,conv7_239,664441,225069353,1
conv5,277,conv5_277,817719,348567762,2
conv5,475,conv5_475,808784,344743796,1
conv6,302,conv6_302,730342,221663206,0
conv6,382,conv6_382,781571,240378722,0
conv3,242,conv3_242,825223,206008274,18
conv2,55,conv2_55,824736,185671392,24
conv6,74,conv6_74,781558,241643027,0
conv6,347,conv6_347,756813,228865133,0
conv4,30,conv4_30,824994,380219060,0
conv8,134,conv8_134,758123,55916860,0
conv7,49,conv7_49,496355,173843612,0
conv6,416,conv6_416,735751,228013421,0
conv4,214,conv4_214,825209,372206662,0
conv7,104,conv7_104,584189,216704715,0
conv5,90,conv5_90,824211,369977405,0
conv5,21,conv5_21,824629,368841860,1
conv5,491,conv5_491,694907,258952653,0
conv7,48,conv7_48,546261,195762879,0
conv3,37,conv3_37,824363,199413299,7
conv7,511,conv7_511,595832,212686821,0
conv2,41,conv2_41,825187,193310603,15
conv5,111,conv5_111,824709,375091359,0
conv6,95,conv6_95,763018,222052256,0
conv1,45,conv1_45,824226,67924907,9
conv5,258,conv5_258,816248,367333531,0
conv4,32,conv4_32,825197,385002358,0
conv8,347,conv8_347,692379,38074545,0
conv3,250,conv3_250,825230,197037361,3
conv3,58,conv3_58,825230,206737889,4574
conv5,71,conv5_71,823911,371262712,10
conv5,447,conv5_447,823668,368143235,0
conv5,336,conv5_336,822873,352658620,1
conv5,199,conv5_199,802207,357178033,0
conv7,179,conv7_179,566076,196932611,0
conv5,207,conv5_207,824944,368140740,0
conv7,168,conv7_168,428931,154819624,0
conv8,57,conv8_57,741835,45319029,0
conv7,363,conv7_363,454942,168825443,1
conv7,310,conv7_310,532920,190171692,0
conv3,129,conv3_129,824966,185546081,0
conv2,34,conv2_34,825230,199333538,1937
conv3,18,conv3_18,823212,183187996,0
conv7,315,conv7_315,581824,215585667,0
conv5,211,conv5_211,820644,370973770,1
conv6,19,conv6_19,743550,225510444,0
conv7,404,conv7_404,522754,181853750,0
conv3,168,conv3_168,825230,204828521,232
conv4,85,conv4_85,825124,387810206,0
conv8,346,conv8_346,692577,42316419,0
conv3,217,conv3_217,825227,200538006,4
conv6,247,conv6_247,791654,252391618,0
conv6,430,conv6_430,794360,253678131,0
conv6,401,conv6_401,766140,234254457,0
conv7,306,conv7_306,526001,196033674,0
conv1,56,conv1_56,336205,30669479,0
conv7,73,conv7_73,499798,184725909,0
conv3,232,conv3_232,825230,199131572,0
conv7,106,conv7_106,493861,176362424,0
conv8,157,conv8_157,707069,42876889,0
conv3,246,conv3_246,825145,180636267,12
conv5,34,conv5_34,824285,376189977,0
conv6,273,conv6_273,626028,183950814,0
conv3,78,conv3_78,823812,188666434,26
conv5,128,conv5_128,759092,320726970,0
conv5,499,conv5_499,822002,360473440,1
conv3,126,conv3_126,825010,192003355,23
conv6,268,conv6_268,783412,240310797,0
conv5,40,conv5_40,791716,342886728,1
conv1,38,conv1_38,824582,88058059,70
conv4,131,conv4_131,825110,376890132,0
conv8,405,conv8_405,644903,31789676,0
conv8,454,conv8_454,714206,44845448,0
conv6,59,conv6_59,795200,255529324,0
conv4,250,conv4_250,825144,390429640,0
conv8,250,conv8_250,644220,35961952,0
conv8,94,conv8_94,750672,58386951,0
conv5,100,conv5_100,824512,350327587,5
conv3,146,conv3_146,825225,203855414,128
conv7,116,conv7_116,515734,194005222,0
conv5,243,conv5_243,822385,368622851,0
conv2,75,conv2_75,825229,198610187,112
conv5,99,conv5_99,815468,327891040,5
conv8,297,conv8_297,761464,52772630,0
conv2,63,conv2_63,825227,189851537,20
conv3,50,conv3_50,825228,197661758,0
conv5,242,conv5_242,820352,363934574,4
conv4,135,conv4_135,823888,387356103,0
conv7,264,conv7_264,645848,235958120,0
conv8,282,conv8_282,714391,40366648,0
conv7,445,conv7_445,497966,179804273,0
conv6,405,conv6_405,783429,246110544,0
conv3,156,conv3_156,823856,182226582,0
conv5,326,conv5_326,822192,348674590,0
conv6,51,conv6_51,818577,242568192,0
conv5,284,conv5_284,825135,376949105,0
conv8,81,conv8_81,691590,32511742,0
conv3,199,conv3_199,825160,188413260,0
conv5,106,conv5_106,807712,346203320,0
conv8,112,conv8_112,642517,34947726,0
conv7,437,conv7_437,623072,235032112,0
conv2,24,conv2_24,825230,200800505,3
conv3,143,conv3_143,822851,181955185,15
conv3,77,conv3_77,824337,182683971,0
conv7,345,conv7_345,545562,203804964,1
conv8,52,conv8_52,723002,46608429,0
conv7,326,conv7_326,459732,166215282,0
conv8,180,conv8_180,631329,28547660,0
conv6,355,conv6_355,791097,241107306,0
conv7,53,conv7_53,504572,185207662,0
conv6,433,conv6_433,753863,234562551,0
conv1,30,conv1_30,236211,27904885,2
conv8,403,conv8_403,701272,50526513,0
conv6,350,conv6_350,778801,245832360,0
conv6,395,conv6_395,752127,230290817,0
conv7,376,conv7_376,486783,168892965,0
conv5,406,conv5_406,824404,359000095,0
conv6,340,conv6_340,752773,231519310,0
conv8,60,conv8_60,651840,31324239,0
conv5,350,conv5_350,660619,257007695,0
conv8,168,conv8_168,655789,37197307,0
conv8,98,conv8_98,691249,37730419,0
conv6,336,conv6_336,740301,222665575,0
conv6,180,conv6_180,768736,240634490,0
conv6,108,conv6_108,793610,242494752,0
conv2,122,conv2_122,825216,197358307,7
conv8,53,conv8_53,674442,40367234,0
conv2,30,conv2_30,825192,196111330,58
conv7,91,conv7_91,507560,193845834,0
conv3,195,conv3_195,825229,202508186,1
conv8,326,conv8_326,776110,57452309,0
conv7,309,conv7_309,643971,238835532,0
conv8,66,conv8_66,648489,34646377,0
conv8,374,conv8_374,691377,38335920,0
conv2,91,conv2_91,825228,198557272,128
conv6,277,conv6_277,725148,223586274,0
conv4,234,conv4_234,824929,389617627,0
conv4,4,conv4_4,825106,388670092,0
conv4,207,conv4_207,825226,386041518,0
conv7,475,conv7_475,549204,203000437,0
conv3,208,conv3_208,825204,200924555,2
conv5,186,conv5_186,824637,374705918,0
conv6,50,conv6_50,781224,246600956,0
conv4,203,conv4_203,825215,382212639,0
conv6,90,conv6_90,752025,227681286,0
conv4,247,conv4_247,825202,391630414,0
conv7,281,conv7_281,504229,187440551,0
conv6,498,conv6_498,787831,241170336,0
conv7,428,conv7_428,505634,178549184,0
conv4,185,conv4_185,824675,385571045,0
conv3,159,conv3_159,825085,189484978,129
conv8,315,conv8_315,737235,44135722,0
conv3,252,conv3_252,823968,190738915,21
conv6,121,conv6_121,763430,237187755,0
conv6,202,conv6_202,761869,241588772,0
conv8,164,conv8_164,703722,37023091,0
conv8,366,conv8_366,674475,40684433,0
conv7,484,conv7_484,555441,193366070,0
conv8,368,conv8_368,633537,30145795,0
conv8,175,conv8_175,623479,28253719,0
conv7,190,conv7_190,499041,188993731,0
conv5,239,conv5_239,818077,357133798,5
conv5,438,conv5_438,821161,369415552,2
conv3,90,conv3_90,823745,185229798,0
conv5,418,conv5_418,824768,373598330,0
conv7,295,conv7_295,573457,199928538,0
conv5,404,conv5_404,819362,361456559,0
conv8,56,conv8_56,659007,37188136,0
conv6,306,conv6_306,806747,255749988,0
conv5,61,conv5_61,776397,316124051,0
conv6,423,conv6_423,794513,254041843,0
conv6,200,conv6_200,782414,243350422,0
conv5,210,conv5_210,825134,373307665,1
conv5,140,conv5_140,822782,371611860,1
conv6,317,conv6_317,790716,235354269,0
conv8,316,conv8_316,700998,44013110,0
conv7,422,conv7_422,579594,211272590,0
conv3,87,conv3_87,825187,190997355,0
conv6,289,conv6_289,765845,231680451,0
conv2,22,conv2_22,825227,194480268,44
conv4,109,conv4_109,825224,390235920,0
conv5,318,conv5_318,808233,333189892,0
conv6,35,conv6_35,790503,254190050,0
conv5,505,conv5_505,825075,370876064,0
conv7,279,conv7_279,574351,211829454,0
conv8,218,conv8_218,574446,27603208,0
conv7,390,conv7_390,517932,190586655,0
conv7,318,conv7_318,563824,207106837,0
conv8,109,conv8_109,641485,19698671,0
conv8,31,conv8_31,681756,40626312,0
conv7,429,conv7_429,630054,237943893,0
conv4,239,conv4_239,824709,392296672,0
conv7,424,conv7_424,606898,226754166,0
conv6,303,conv6_303,748586,226450290,0
conv7,282,conv7_282,543820,199700006,0
conv5,465,conv5_465,821566,363243082,0
conv7,110,conv7_110,609299,204173121,0
conv7,296,conv7_296,738710,270632040,0
conv5,312,conv5_312,816115,348919618,0
conv7,388,conv7_388,419424,155856600,0
conv7,498,conv7_498,559993,212274448,0
conv8,237,conv8_237,696226,40267499,0
conv8,322,conv8_322,724915,51069742,0
conv3,115,conv3_115,825225,200519681,0
conv8,40,conv8_40,636038,37438511,0
conv8,232,conv8_232,670641,34823404,0
conv1,46,conv1_46,825230,95125813,1
conv5,471,conv5_471,824874,376054498,2
conv4,142,conv4_142,824780,387011112,0
conv6,186,conv6_186,787974,250570596,0
conv8,197,conv8_197,768850,64203607,0
conv3,157,conv3_157,825229,202783742,0
conv3,225,conv3_225,822371,178391787,3
conv7,64,conv7_64,546400,187648274,0
conv6,70,conv6_70,717009,205589012,0
conv8,321,conv8_321,673929,36190266,0
conv4,24,conv4_24,824209,375893493,5
conv8,412,conv8_412,741447,50526577,0
conv2,100,conv2_100,825227,196104991,9
conv2,21,conv2_21,825230,164726326,1
conv6,278,conv6_278,772948,231903067,0
conv3,36,conv3_36,823746,181341028,1
conv8,364,conv8_364,736714,47219677,0
conv2,78,conv2_78,825228,196886806,52
conv3,102,conv3_102,824815,191459181,0
conv8,421,conv8_421,724390,45011133,0
conv7,260,conv7_260,517577,191277803,0
conv8,472,conv8_472,728011,49011953,0
conv5,69,conv5_69,797321,344669999,5
conv3,224,conv3_224,824849,195261927,17
conv8,110,conv8_110,627720,33243589,0
conv4,15,conv4_15,823710,358686496,0
conv8,411,conv8_411,655714,33724667,0
conv6,114,conv6_114,810153,245957219,0
conv8,348,conv8_348,665990,40557364,0
conv7,234,conv7_234,489698,181205839,0
conv5,301,conv5_301,817502,356644943,0
conv7,355,conv7_355,654676,241825920,0
conv7,233,conv7_233,504289,186076421,0
conv2,42,conv2_42,825230,197902732,0
conv3,211,conv3_211,825230,205383983,242
conv8,22,conv8_22,577648,27340448,0
conv7,156,conv7_156,527152,193318930,0
conv8,99,conv8_99,627219,31958692,0
conv5,417,conv5_417,793678,344620291,0
conv8,153,conv8_153,741029,51189298,0
conv2,95,conv2_95,825121,175894363,1
conv5,351,conv5_351,807621,349195734,0
conv5,149,conv5_149,823798,371234713,0
conv5,278,conv5_278,814016,348704123,0
conv7,7,conv7_7,468520,168509848,0
conv3,247,conv3_247,825216,203943373,54
conv7,392,conv7_392,675774,254783932,0
conv8,58,conv8_58,600743,35455001,0
conv6,448,conv6_448,688461,217209040,0
conv7,226,conv7_226,552624,208557756,0
conv8,201,conv8_201,663528,37519733,0
conv7,119,conv7_119,592719,222292120,0
conv4,178,conv4_178,825179,391968832,1
conv7,297,conv7_297,534202,204186351,0
conv2,28,conv2_28,825229,203103890,2
conv7,442,conv7_442,620269,224623290,0
conv8,190,conv8_190,619416,31989159,0
conv7,97,conv7_97,554908,201420787,0
conv6,144,conv6_144,742111,230023168,0
conv6,169,conv6_169,709476,217514888,0
conv7,1,conv7_1,655277,237510227,0
conv8,470,conv8_470,680779,40777551,0
conv5,449,conv5_449,825183,366930792,0
conv4,69,conv4_69,822644,355897564,0
conv3,12,conv3_12,825196,190629026,0
conv2,58,conv2_58,825168,191382315,23
conv6,53,conv6_53,783949,244187923,0
conv7,251,conv7_251,575531,213045285,0
conv6,413,conv6_413,757700,235763552,0
conv2,14,conv2_14,825225,191266773,0
conv8,360,conv8_360,714600,44430142,0
conv6,274,conv6_274,784173,241957688,0
conv5,189,conv5_189,822698,358641883,1
conv4,79,conv4_79,824954,386990455,0
conv5,37,conv5_37,823686,375579360,0
conv5,114,conv5_114,803642,342434640,0
conv3,106,conv3_106,825223,202863218,0
conv5,244,conv5_244,816356,369196462,0
conv5,62,conv5_62,823124,367943647,2
conv5,349,conv5_349,789443,342411709,1
conv7,84,conv7_84,676436,227438770,0
conv5,369,conv5_369,820388,342857699,0
conv6,243,conv6_243,768974,234677667,0
conv8,171,conv8_171,635898,34339748,0
conv7,441,conv7_441,637232,216233118,0
conv6,442,conv6_442,722263,227288490,0
conv3,71,conv3_71,825130,190877060,11
conv5,353,conv5_353,811408,360111691,0
conv6,21,conv6_21,782971,251380326,0
conv8,48,conv8_48,665372,32235202,0
conv4,12,conv4_12,825146,389341331,0
conv6,377,conv6_377,797736,237592638,0
conv6,162,conv6_162,770460,241235302,0
conv7,178,conv7_178,428749,157013460,0
conv6,443,conv6_443,742744,228253546,0
conv5,382,conv5_382,824444,367094148,5
conv5,171,conv5_171,825085,360065158,0
conv8,145,conv8_145,656526,36466377,0
conv5,35,conv5_35,825108,376166664,0
conv3,240,conv3_240,825224,190175048,0
conv6,511,conv6_511,785347,249676838,0
conv7,397,conv7_397,468080,172303439,0
conv8,233,conv8_233,720967,42420551,0
conv7,412,conv7_412,664787,248342095,0
conv3,41,conv3_41,825230,201942957,0
conv6,218,conv6_218,764326,240476740,0
conv4,253,conv4_253,822785,378257146,25
conv7,62,conv7_62,762753,268649552,0
conv6,113,conv6_113,793449,234837328,0
conv7,368,conv7_368,601111,224259080,0
conv7,369,conv7_369,703329,273010829,0
conv5,329,conv5_329,822724,366068678,0
conv7,72,conv7_72,632874,233793770,0
conv5,459,conv5_459,824317,363201206,0
conv7,356,conv7_356,549143,206132374,0
conv7,362,conv7_362,528383,199419361,0
conv1,63,conv1_63,825228,92548663,165
conv4,11,conv4_11,825069,382486352,0
conv7,426,conv7_426,586930,218567581,0
conv4,244,conv4_244,825113,386478712,0
conv2,54,conv2_54,825124,177846013,0
conv8,445,conv8_445,612915,33911701,0
conv5,403,conv5_403,795303,343773298,1
conv5,454,conv5_454,792674,321139707,0
conv8,236,conv8_236,741856,52530789,0
conv4,129,conv4_129,825200,391498504,0
conv7,78,conv7_78,564891,212846089,0
conv6,487,conv6_487,801761,254272199,0
conv6,222,conv6_222,777871,243340139,0
conv5,445,conv5_445,824920,376380177,6
conv5,476,conv5_476,823330,370014137,0
conv7,383,conv7_383,628356,229785830,0
conv4,98,conv4_98,825173,391740471,0
conv7,308,conv7_308,566242,202289453,0
conv3,175,conv3_175,825230,199649706,19
conv5,269,conv5_269,820727,356171060,0
conv6,61,conv6_61,658497,201300340,0
conv8,354,conv8_354,533010,30365802,0
conv2,115,conv2_115,825226,193347417,9
conv8,476,conv8_476,652836,35164011,0
conv7,221,conv7_221,542762,196722952,0
conv3,139,conv3_139,824308,182366536,1
conv4,63,conv4_63,824981,387186873,1
conv5,453,conv5_453,824075,369046359,0
conv8,113,conv8_113,778329,56291832,0
conv6,10,conv6_10,734958,233510602,0
conv6,126,conv6_126,733043,216493329,0
conv7,334,conv7_334,590087,222237379,0
conv3,69,conv3_69,823666,181338905,204
conv8,224,conv8_224,681049,39419702,0
conv7,54,conv7_54,614569,204097727,0
conv7,367,conv7_367,503056,189385211,0
conv7,240,conv7_240,540881,191118908,0
conv8,447,conv8_447,676117,43279172,0
conv2,57,conv2_57,825227,198668548,14
conv5,175,conv5_175,792631,352084887,0
conv7,231,conv7_231,736620,287921746,0
conv7,496,conv7_496,528859,196995979,0
conv5,96,conv5_96,824881,368821102,1
conv2,43,conv2_43,825230,196955042,53
conv7,236,conv7_236,494024,183170947,0
conv4,173,conv4_173,825186,378215770,0
conv8,435,conv8_435,676661,37726981,0
conv4,200,conv4_200,823943,371366965,0
conv5,221,conv5_221,773536,331364672,0
conv5,197,conv5_197,789197,343803862,0
conv7,143,conv7_143,504504,185150493,0
conv7,253,conv7_253,627496,220406936,0
conv1,44,conv1_44,824919,74138479,27
conv7,108,conv7_108,516785,184023012,0
conv6,40,conv6_40,800997,252905847,0
conv6,269,conv6_269,209926,69924906,0
conv6,99,conv6_99,764556,226889205,0
conv5,147,conv5_147,822123,347536859,0
conv8,496,conv8_496,660693,37410510,0
conv4,104,conv4_104,824676,384442375,0
conv7,19,conv7_19,624216,232732726,0
conv5,70,conv5_70,820175,362083855,8
conv5,478,conv5_478,822391,349346085,0
conv5,255,conv5_255,765514,318983468,0
conv7,378,conv7_378,434922,158198762,0
conv5,10,conv5_10,806474,346264863,14
conv3,109,conv3_109,824851,184744253,22
conv8,285,conv8_285,717260,45444494,0
conv4,165,conv4_165,825219,386759700,0
conv7,254,conv7_254,623348,214301738,0
conv6,170,conv6_170,777707,242712734,0
conv7,166,conv7_166,541111,197248624,0
conv4,41,conv4_41,825042,375416720,3
conv6,334,conv6_334,770884,230214046,0
conv8,107,conv8_107,678010,40620539,0
conv8,413,conv8_413,670914,36132248,0
conv6,367,conv6_367,773499,236657095,0
conv8,306,conv8_306,662049,35728124,0
conv4,27,conv4_27,824896,375033708,0
conv4,29,conv4_29,825218,394241627,0
conv6,369,conv6_369,790039,244787195,0
conv7,157,conv7_157,550801,187113364,0
conv4,223,conv4_223,824647,382419882,0
conv2,13,conv2_13,825230,193708017,127
conv8,30,conv8_30,666700,34677445,0
conv7,68,conv7_68,622483,210817205,0
conv6,366,conv6_366,764108,237255084,0
conv6,311,conv6_311,785947,235605454,0
conv8,182,conv8_182,707816,36850973,0
conv6,397,conv6_397,795314,247190558,0
conv6,98,conv6_98,707301,211889236,0
conv4,164,conv4_164,825167,392581237,0
conv7,365,conv7_365,524618,193592796,0
conv6,396,conv6_396,766110,236073782,0
conv5,215,conv5_215,824593,359369415,0
conv4,96,conv4_96,825223,391875934,3
conv6,422,conv6_422,756430,234841408,0
conv7,31,conv7_31,499983,185598774,0
conv7,503,conv7_503,557552,197466347,0
conv4,42,conv4_42,825059,385324064,0
conv8,267,conv8_267,561441,19091793,0
conv8,334,conv8_334,660165,37762724,0
conv8,450,conv8_450,645654,34830372,0
conv5,423,conv5_423,817034,344411950,24
conv5,129,conv5_129,825203,373640154,28
conv8,444,conv8_444,675063,37128870,0
conv8,451,conv8_451,684683,35618325,0
conv8,172,conv8_172,623134,37384716,0
conv8,398,conv8_398,701546,40449514,0
conv8,133,conv8_133,678076,36732542,0
conv7,344,conv7_344,553166,207825493,0
conv7,419,conv7_419,422586,143491780,0
conv5,6,conv5_6,821762,364233680,0
conv6,307,conv6_307,766949,232169657,0
conv6,183,conv6_183,698638,204907160,0
conv8,305,conv8_305,676316,39457682,0
conv3,245,conv3_245,773085,160383343,18
conv4,224,conv4_224,824919,381738979,0
conv4,35,conv4_35,824664,381433590,3
conv7,339,conv7_339,778120,296616848,0
conv6,20,conv6_20,674727,208317057,0
conv2,9,conv2_9,825230,197594585,0
conv2,20,conv2_20,825226,193873951,139
conv2,65,conv2_65,825200,184981326,29
conv7,329,conv7_329,605205,221313871,0
conv8,294,conv8_294,653477,33903002,0
conv4,132,conv4_132,825142,393907269,1
conv5,379,conv5_379,825096,362942940,0
conv6,109,conv6_109,768870,239783909,0
conv5,132,conv5_132,822255,369456359,0
conv4,117,conv4_117,825223,383098309,0
conv5,437,conv5_437,808198,345670000,0
conv6,128,conv6_128,746750,233295232,0
conv5,81,conv5_81,796545,335072720,0
conv2,4,conv2_4,825230,199951392,0
conv5,49,conv5_49,825166,372704669,0
conv5,314,conv5_314,825157,366091746,3
conv8,15,conv8_15,680119,41512289,0
conv6,361,conv6_361,755985,236217286,0
conv8,211,conv8_211,639081,28510964,0
conv2,93,conv2_93,825212,189557161,1
conv8,154,conv8_154,631272,37947954,0
conv7,473,conv7_473,578694,215211496,0
conv5,223,conv5_223,824887,371500958,0
conv5,191,conv5_191,825142,367365910,0
conv8,448,conv8_448,572767,28269871,0
conv8,299,conv8_299,728436,51347111,0
conv8,332,conv8_332,680898,39889240,0
conv5,203,conv5_203,824256,371673571,1
conv8,458,conv8_458,534727,24617590,0
conv7,494,conv7_494,563718,213471380,0
conv6,216,conv6_216,793767,244501328,0
conv3,55,conv3_55,825230,202541098,4
conv5,204,conv5_204,814250,362992990,0
conv6,283,conv6_283,824874,274849740,0
conv8,494,conv8_494,600799,28758490,0
conv5,271,conv5_271,101598,39495327,0
conv3,89,conv3_89,825223,201183872,15
conv7,361,conv7_361,526232,201633015,0
conv5,116,conv5_116,792304,350197396,10
conv6,260,conv6_260,774502,239065404,0
conv6,38,conv6_38,810653,235522696,0
conv8,2,conv8_2,721201,41342055,0
conv5,3,conv5_3,782109,341429616,0
