layer,channel,neuron_id,downstream_correct_count,downstream_total_activations,downstream_full_activation_count
conv3,221,conv3_221,825060,199157148,28
conv6,362,conv6_362,785461,246567857,0
conv3,239,conv3_239,824978,178389081,2
conv8,245,conv8_245,659793,39687309,0
conv7,352,conv7_352,645259,239297059,0
conv8,274,conv8_274,710955,43190049,0
conv3,94,conv3_94,825227,194084445,18
conv6,32,conv6_32,769425,235397508,0
conv5,150,conv5_150,795609,344280152,0
conv7,16,conv7_16,563637,206500066,0
conv7,489,conv7_489,557411,207753412,0
conv8,129,conv8_129,743438,49033979,0
conv3,44,conv3_44,825218,203041198,92
conv8,230,conv8_230,658362,30166130,0
conv4,122,conv4_122,824699,381489258,61
conv4,138,conv4_138,824582,390607410,0
conv8,505,conv8_505,710083,40877059,0
conv7,250,conv7_250,539434,200044288,0
conv8,104,conv8_104,622187,28949085,0
conv4,155,conv4_155,825143,393741140,0
conv4,237,conv4_237,825228,395493790,0
conv7,139,conv7_139,584735,207438148,0
conv4,160,conv4_160,825222,394796262,0
conv8,455,conv8_455,697526,44108707,0
conv6,488,conv6_488,697645,221746266,0
conv6,7,conv6_7,759835,227035190,0
conv4,190,conv4_190,825204,391362435,0
conv5,98,conv5_98,823166,364310881,0
conv6,359,conv6_359,707190,216612124,0
conv7,192,conv7_192,514312,191174920,0
conv6,176,conv6_176,697276,212355610,0
conv5,479,conv5_479,823057,350676895,0
conv5,364,conv5_364,811055,355747803,0
conv7,37,conv7_37,625766,218811135,0
conv8,125,conv8_125,639741,33867923,0
conv4,222,conv4_222,824903,383703850,1
conv7,461,conv7_461,651226,248660325,0
conv8,84,conv8_84,605314,32429751,0
conv7,230,conv7_230,564939,205591227,0
conv3,125,conv3_125,825098,207294702,508
conv3,117,conv3_117,825139,207041184,9812
conv3,160,conv3_160,825228,202757064,0
conv5,405,conv5_405,807685,342595856,0
conv6,8,conv6_8,791797,247236739,0
conv4,72,conv4_72,824690,376975201,0
conv2,11,conv2_11,825222,183952223,0
conv7,321,conv7_321,530485,199513548,0
conv7,289,conv7_289,651718,249814949,0
conv4,235,conv4_235,825215,387350823,0
conv7,364,conv7_364,542842,187442724,0
conv5,167,conv5_167,768784,305222522,1
conv7,261,conv7_261,425976,157087920,0
conv6,312,conv6_312,774940,234884580,0
conv3,42,conv3_42,825230,199898338,1
conv4,189,conv4_189,825185,397599507,0
conv7,304,conv7_304,493043,188101864,0
conv6,172,conv6_172,785788,240609175,0
conv6,187,conv6_187,796000,256957853,0
conv5,251,conv5_251,800321,354294377,0
conv5,428,conv5_428,799167,331365614,0
conv2,15,conv2_15,825230,200679166,190
conv2,2,conv2_2,825230,199099450,0
conv5,402,conv5_402,819861,368100282,0
conv4,233,conv4_233,823883,371951571,0
conv3,166,conv3_166,825226,199401630,1
conv5,396,conv5_396,824663,365634280,0
conv5,489,conv5_489,817712,344949433,0
conv8,248,conv8_248,716656,38929192,0
conv3,167,conv3_167,825225,199362500,0
conv5,123,conv5_123,824827,364399859,30
conv8,278,conv8_278,558258,29008748,0
conv7,348,conv7_348,477000,177685829,0
conv6,25,conv6_25,735104,227983567,0
conv8,207,conv8_207,645659,41057352,0
conv7,307,conv7_307,610853,225954584,0
conv5,184,conv5_184,822726,362671253,0
conv4,74,conv4_74,810534,329026552,1
conv6,78,conv6_78,799636,249671409,0
conv4,119,conv4_119,825214,381436440,0
conv6,339,conv6_339,729195,230110345,0
conv8,1,conv8_1,774854,55025528,0
conv7,246,conv7_246,741639,279288503,0
conv5,225,conv5_225,821614,360923138,13
conv3,237,conv3_237,825194,196243305,215
conv7,346,conv7_346,423597,154523948,0
conv4,179,conv4_179,825230,387559444,0
conv8,68,conv8_68,701851,43533357,0
